content,score,at,case_folding,cleaning,tokenization,stopword_removal,stemming,clean_review,sentiment
sudah langganan tapi tidak bisa ke buka film ny,1,2026-06-13 11:11:47,sudah langganan tapi tidak bisa ke buka film ny,sudah langganan tapi tidak bisa ke buka film ny,"['sudah', 'langganan', 'tapi', 'tidak', 'bisa', 'ke', 'buka', 'film', 'ny']","['langganan', 'buka', 'film', 'ny']","['langgan', 'buka', 'film', 'ny']",langgan buka film ny,Netral
"udah download app ini,cara masuk kesini ngeribetin,mending di melolo aja,GK mau lagi pake app yg lain.",1,2026-06-13 10:43:26,"udah download app ini,cara masuk kesini ngeribetin,mending di melolo aja,gk mau lagi pake app yg lain.",udah download app inicara masuk kesini ngeribetinmending di melolo ajagk mau lagi pake app yg lain,"['udah', 'download', 'app', 'inicara', 'masuk', 'kesini', 'ngeribetinmending', 'di', 'melolo', 'ajagk', 'mau', 'lagi', 'pake', 'app', 'yg', 'lain']","['udah', 'download', 'app', 'inicara', 'masuk', 'kesini', 'ngeribetinmending', 'melolo', 'ajagk', 'pake', 'app', 'yg']","['udah', 'download', 'app', 'inicara', 'masuk', 'kesini', 'ngeribetinmending', 'melolo', 'ajagk', 'pake', 'app', 'yg']",udah download app inicara masuk kesini ngeribetinmending melolo ajagk pake app yg,Netral
Watching movies using Netflix is very comfortable,5,2026-06-13 09:29:11,watching movies using netflix is very comfortable,watching movies using netflix is very comfortable,"['watching', 'movies', 'using', 'netflix', 'is', 'very', 'comfortable']","['watching', 'movies', 'using', 'netflix', 'is', 'very', 'comfortable']","['watching', 'movies', 'using', 'netflix', 'is', 'very', 'comfortable']",watching movies using netflix is very comfortable,Positif
y zam,2,2026-06-13 09:19:00,y zam,y zam,"['y', 'zam']","['y', 'zam']","['y', 'zam']",y zam,Netral
"Aplikasi goblog, mau daftar aja gabisa bisa",1,2026-06-13 06:43:01,"aplikasi goblog, mau daftar aja gabisa bisa",aplikasi goblog mau daftar aja gabisa bisa,"['aplikasi', 'goblog', 'mau', 'daftar', 'aja', 'gabisa', 'bisa']","['aplikasi', 'goblog', 'daftar', 'aja', 'gabisa']","['aplikasi', 'goblog', 'daftar', 'aja', 'gabisa']",aplikasi goblog daftar aja gabisa,Netral
"gak bisa login di tablet, tolong di perbaiki woi",1,2026-06-13 00:11:17,"gak bisa login di tablet, tolong di perbaiki woi",gak bisa login di tablet tolong di perbaiki woi,"['gak', 'bisa', 'login', 'di', 'tablet', 'tolong', 'di', 'perbaiki', 'woi']","['gak', 'login', 'tablet', 'tolong', 'perbaiki', 'woi']","['gak', 'login', 'tablet', 'tolong', 'baik', 'woi']",gak login tablet tolong baik woi,Netral
ingin berhenti berlangganan selalu di persulit,1,2026-06-12 22:09:09,ingin berhenti berlangganan selalu di persulit,ingin berhenti berlangganan selalu di persulit,"['ingin', 'berhenti', 'berlangganan', 'selalu', 'di', 'persulit']","['berhenti', 'berlangganan', 'persulit']","['henti', 'langgan', 'sulit']",henti langgan sulit,Netral
"LOGIN AJA SUSAH BANGET SI AL AN UDAH BERKALI KALI MALAH DIALIHKAN KE PEMBAYARAN PREMIUM MULU, GUA CUMA MAU LOGIN, TOLONG BENERIN, NGACO",2,2026-06-12 22:04:53,"login aja susah banget si al an udah berkali kali malah dialihkan ke pembayaran premium mulu, gua cuma mau login, tolong benerin, ngaco",login aja susah banget si al an udah berkali kali malah dialihkan ke pembayaran premium mulu gua cuma mau login tolong benerin ngaco,"['login', 'aja', 'susah', 'banget', 'si', 'al', 'an', 'udah', 'berkali', 'kali', 'malah', 'dialihkan', 'ke', 'pembayaran', 'premium', 'mulu', 'gua', 'cuma', 'mau', 'login', 'tolong', 'benerin', 'ngaco']","['login', 'aja', 'susah', 'banget', 'si', 'al', 'an', 'udah', 'berkali', 'kali', 'dialihkan', 'pembayaran', 'premium', 'mulu', 'gua', 'login', 'tolong', 'benerin', 'ngaco']","['login', 'aja', 'susah', 'banget', 'si', 'al', 'an', 'udah', 'kali', 'kali', 'alih', 'bayar', 'premium', 'mulu', 'gua', 'login', 'tolong', 'benerin', 'ngaco']",login aja susah banget si al an udah kali kali alih bayar premium mulu gua login tolong benerin ngaco,Netral
"repot bgt aplikasi nya. blm apa apa udah harus bgt isi paket, abis isi paket malah banyak eror nya ga jelas",1,2026-06-12 21:17:47,"repot bgt aplikasi nya. blm apa apa udah harus bgt isi paket, abis isi paket malah banyak eror nya ga jelas",repot bgt aplikasi nya blm apa apa udah harus bgt isi paket abis isi paket malah banyak eror nya ga jelas,"['repot', 'bgt', 'aplikasi', 'nya', 'blm', 'apa', 'apa', 'udah', 'harus', 'bgt', 'isi', 'paket', 'abis', 'isi', 'paket', 'malah', 'banyak', 'eror', 'nya', 'ga', 'jelas']","['repot', 'bgt', 'aplikasi', 'nya', 'blm', 'udah', 'bgt', 'isi', 'paket', 'abis', 'isi', 'paket', 'eror', 'nya', 'ga']","['repot', 'bgt', 'aplikasi', 'nya', 'blm', 'udah', 'bgt', 'isi', 'paket', 'abis', 'isi', 'paket', 'eror', 'nya', 'ga']",repot bgt aplikasi nya blm udah bgt isi paket abis isi paket eror nya ga,Netral
"untuk pihak netflix tolong subbtitle nya di perbaiki ya, soalnya kadang subbtitle nya ngawur ga nyambung ama bahasa yang di ucapin, ya walaupun itu untuk menghindari terjemahan bahasa"" kasar atau makian makian dalam film ataupun anime nya. untuk subbtitle nya aja yang lainya gak bermasalah",4,2026-06-12 19:57:18,"untuk pihak netflix tolong subbtitle nya di perbaiki ya, soalnya kadang subbtitle nya ngawur ga nyambung ama bahasa yang di ucapin, ya walaupun itu untuk menghindari terjemahan bahasa"" kasar atau makian makian dalam film ataupun anime nya. untuk subbtitle nya aja yang lainya gak bermasalah",untuk pihak netflix tolong subbtitle nya di perbaiki ya soalnya kadang subbtitle nya ngawur ga nyambung ama bahasa yang di ucapin ya walaupun itu untuk menghindari terjemahan bahasa kasar atau makian makian dalam film ataupun anime nya untuk subbtitle nya aja yang lainya gak bermasalah,"['untuk', 'pihak', 'netflix', 'tolong', 'subbtitle', 'nya', 'di', 'perbaiki', 'ya', 'soalnya', 'kadang', 'subbtitle', 'nya', 'ngawur', 'ga', 'nyambung', 'ama', 'bahasa', 'yang', 'di', 'ucapin', 'ya', 'walaupun', 'itu', 'untuk', 'menghindari', 'terjemahan', 'bahasa', 'kasar', 'atau', 'makian', 'makian', 'dalam', 'film', 'ataupun', 'anime', 'nya', 'untuk', 'subbtitle', 'nya', 'aja', 'yang', 'lainya', 'gak', 'bermasalah']","['netflix', 'tolong', 'subbtitle', 'nya', 'perbaiki', 'ya', 'kadang', 'subbtitle', 'nya', 'ngawur', 'ga', 'nyambung', 'ama', 'bahasa', 'ucapin', 'ya', 'menghindari', 'terjemahan', 'bahasa', 'kasar', 'makian', 'makian', 'film', 'anime', 'nya', 'subbtitle', 'nya', 'aja', 'lainya', 'gak', 'bermasalah']","['netflix', 'tolong', 'subbtitle', 'nya', 'baik', 'ya', 'kadang', 'subbtitle', 'nya', 'ngawur', 'ga', 'nyambung', 'ama', 'bahasa', 'ucapin', 'ya', 'hindar', 'terjemah', 'bahasa', 'kasar', 'maki', 'maki', 'film', 'anime', 'nya', 'subbtitle', 'nya', 'aja', 'lai', 'gak', 'masalah']",netflix tolong subbtitle nya baik ya kadang subbtitle nya ngawur ga nyambung ama bahasa ucapin ya hindar terjemah bahasa kasar maki maki film anime nya subbtitle nya aja lai gak masalah,Netral
busuk,1,2026-06-12 19:18:46,busuk,busuk,['busuk'],['busuk'],['busuk'],busuk,Netral
bagus 👍,5,2026-06-12 15:19:48,bagus 👍,bagus,['bagus'],['bagus'],['bagus'],bagus,Netral
Aplikasi SCAM,1,2026-06-12 14:18:32,aplikasi scam,aplikasi scam,"['aplikasi', 'scam']","['aplikasi', 'scam']","['aplikasi', 'scam']",aplikasi scam,Netral
mantap,5,2026-06-12 13:53:27,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap,Netral
gratisin dng.cp mmh gw byr,1,2026-06-12 13:14:33,gratisin dng.cp mmh gw byr,gratisin dngcp mmh gw byr,"['gratisin', 'dngcp', 'mmh', 'gw', 'byr']","['gratisin', 'dngcp', 'mmh', 'gw', 'byr']","['gratisin', 'dngcp', 'mmh', 'gw', 'byr']",gratisin dngcp mmh gw byr,Netral
ajukan pengembalian,5,2026-06-12 09:57:12,ajukan pengembalian,ajukan pengembalian,"['ajukan', 'pengembalian']","['ajukan', 'pengembalian']","['aju', 'kembali']",aju kembali,Netral
bagus,5,2026-06-12 09:38:32,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus,Netral
Loading terus ga bisa di pakai,1,2026-06-12 07:33:31,loading terus ga bisa di pakai,loading terus ga bisa di pakai,"['loading', 'terus', 'ga', 'bisa', 'di', 'pakai']","['loading', 'ga', 'pakai']","['loading', 'ga', 'pakai']",loading ga pakai,Netral
Aplikasi jelek...Crash ngebig terus....mau bayar via aplikasi ga bisa. pada sdh ngesave CC,1,2026-06-12 02:09:50,aplikasi jelek...crash ngebig terus....mau bayar via aplikasi ga bisa. pada sdh ngesave cc,aplikasi jelekcrash ngebig terusmau bayar via aplikasi ga bisa pada sdh ngesave cc,"['aplikasi', 'jelekcrash', 'ngebig', 'terusmau', 'bayar', 'via', 'aplikasi', 'ga', 'bisa', 'pada', 'sdh', 'ngesave', 'cc']","['aplikasi', 'jelekcrash', 'ngebig', 'terusmau', 'bayar', 'via', 'aplikasi', 'ga', 'sdh', 'ngesave', 'cc']","['aplikasi', 'jelekcrash', 'ngebig', 'terusmau', 'bayar', 'via', 'aplikasi', 'ga', 'sdh', 'ngesave', 'cc']",aplikasi jelekcrash ngebig terusmau bayar via aplikasi ga sdh ngesave cc,Netral
min aku dah berhenti ke anggota an jangan di tagih mulu aku risih🙏,4,2026-06-12 00:04:12,min aku dah berhenti ke anggota an jangan di tagih mulu aku risih🙏,min aku dah berhenti ke anggota an jangan di tagih mulu aku risih,"['min', 'aku', 'dah', 'berhenti', 'ke', 'anggota', 'an', 'jangan', 'di', 'tagih', 'mulu', 'aku', 'risih']","['min', 'dah', 'berhenti', 'anggota', 'an', 'tagih', 'mulu', 'risih']","['min', 'dah', 'henti', 'anggota', 'an', 'tagih', 'mulu', 'risih']",min dah henti anggota an tagih mulu risih,Netral
"eh gw mau nonton ini kok ga bisa di play ya ,baru juga berlangganan",1,2026-06-12 00:01:12,"eh gw mau nonton ini kok ga bisa di play ya ,baru juga berlangganan",eh gw mau nonton ini kok ga bisa di play ya baru juga berlangganan,"['eh', 'gw', 'mau', 'nonton', 'ini', 'kok', 'ga', 'bisa', 'di', 'play', 'ya', 'baru', 'juga', 'berlangganan']","['eh', 'gw', 'nonton', 'ga', 'play', 'ya', 'berlangganan']","['eh', 'gw', 'nonton', 'ga', 'play', 'ya', 'langgan']",eh gw nonton ga play ya langgan,Netral
"serius tnya, Terikat janji di hapus dari netflix yaa?",5,2026-06-11 23:50:14,"serius tnya, terikat janji di hapus dari netflix yaa?",serius tnya terikat janji di hapus dari netflix yaa,"['serius', 'tnya', 'terikat', 'janji', 'di', 'hapus', 'dari', 'netflix', 'yaa']","['serius', 'tnya', 'terikat', 'janji', 'hapus', 'netflix', 'yaa']","['serius', 'tnya', 'ikat', 'janji', 'hapus', 'netflix', 'yaa']",serius tnya ikat janji hapus netflix yaa,Netral
bagus menghibur,4,2026-06-11 22:17:29,bagus menghibur,bagus menghibur,"['bagus', 'menghibur']","['bagus', 'menghibur']","['bagus', 'hibur']",bagus hibur,Netral
not bad,3,2026-06-11 21:39:29,not bad,not bad,"['not', 'bad']","['not', 'bad']","['not', 'bad']",not bad,Positif
"alasan saya memberi bintang 1, karena ini aplikasi aneh bngtt masa baru download mau daftar akun ga bisa, udh aku coba berp kli gagal trs, g suka sama aplikasi ini🙏",1,2026-06-11 21:28:49,"alasan saya memberi bintang 1, karena ini aplikasi aneh bngtt masa baru download mau daftar akun ga bisa, udh aku coba berp kli gagal trs, g suka sama aplikasi ini🙏",alasan saya memberi bintang karena ini aplikasi aneh bngtt masa baru download mau daftar akun ga bisa udh aku coba berp kli gagal trs g suka sama aplikasi ini,"['alasan', 'saya', 'memberi', 'bintang', 'karena', 'ini', 'aplikasi', 'aneh', 'bngtt', 'masa', 'baru', 'download', 'mau', 'daftar', 'akun', 'ga', 'bisa', 'udh', 'aku', 'coba', 'berp', 'kli', 'gagal', 'trs', 'g', 'suka', 'sama', 'aplikasi', 'ini']","['alasan', 'bintang', 'aplikasi', 'aneh', 'bngtt', 'download', 'daftar', 'akun', 'ga', 'udh', 'coba', 'berp', 'kli', 'gagal', 'trs', 'g', 'suka', 'aplikasi']","['alas', 'bintang', 'aplikasi', 'aneh', 'bngtt', 'download', 'daftar', 'akun', 'ga', 'udh', 'coba', 'berp', 'kli', 'gagal', 'trs', 'g', 'suka', 'aplikasi']",alas bintang aplikasi aneh bngtt download daftar akun ga udh coba berp kli gagal trs g suka aplikasi,Negatif
min ini udh bayar tapi ko di Netflix nya malah ga bisa nonton yaa. padahal dah bayar loh,2,2026-06-11 21:08:25,min ini udh bayar tapi ko di netflix nya malah ga bisa nonton yaa. padahal dah bayar loh,min ini udh bayar tapi ko di netflix nya malah ga bisa nonton yaa padahal dah bayar loh,"['min', 'ini', 'udh', 'bayar', 'tapi', 'ko', 'di', 'netflix', 'nya', 'malah', 'ga', 'bisa', 'nonton', 'yaa', 'padahal', 'dah', 'bayar', 'loh']","['min', 'udh', 'bayar', 'ko', 'netflix', 'nya', 'ga', 'nonton', 'yaa', 'dah', 'bayar', 'loh']","['min', 'udh', 'bayar', 'ko', 'netflix', 'nya', 'ga', 'nonton', 'yaa', 'dah', 'bayar', 'loh']",min udh bayar ko netflix nya ga nonton yaa dah bayar loh,Netral
Aplikasi yang sangat berguna terutama dalam memberikan layanan yang berupa hiburan dan tontonan yang berkualitas premium,5,2026-06-11 16:43:26,aplikasi yang sangat berguna terutama dalam memberikan layanan yang berupa hiburan dan tontonan yang berkualitas premium,aplikasi yang sangat berguna terutama dalam memberikan layanan yang berupa hiburan dan tontonan yang berkualitas premium,"['aplikasi', 'yang', 'sangat', 'berguna', 'terutama', 'dalam', 'memberikan', 'layanan', 'yang', 'berupa', 'hiburan', 'dan', 'tontonan', 'yang', 'berkualitas', 'premium']","['aplikasi', 'berguna', 'layanan', 'hiburan', 'tontonan', 'berkualitas', 'premium']","['aplikasi', 'guna', 'layan', 'hibur', 'tonton', 'kualitas', 'premium']",aplikasi guna layan hibur tonton kualitas premium,Netral
pendaftarannya ribet,1,2026-06-11 15:47:00,pendaftarannya ribet,pendaftarannya ribet,"['pendaftarannya', 'ribet']","['pendaftarannya', 'ribet']","['daftar', 'ribet']",daftar ribet,Netral
sering ada yang hilang terus muncul lagi tiba-tiba emang asu,1,2026-06-11 15:24:18,sering ada yang hilang terus muncul lagi tiba-tiba emang asu,sering ada yang hilang terus muncul lagi tibatiba emang asu,"['sering', 'ada', 'yang', 'hilang', 'terus', 'muncul', 'lagi', 'tibatiba', 'emang', 'asu']","['hilang', 'muncul', 'tibatiba', 'emang', 'asu']","['hilang', 'muncul', 'tibatiba', 'emang', 'asu']",hilang muncul tibatiba emang asu,Netral
"Netflix offers a fantastic variety of movies, TV shows, and original content. The streaming quality is excellent, and the user interface is very easy to navigate. It's one of the best entertainment platforms available.",5,2026-06-11 15:11:22,"netflix offers a fantastic variety of movies, tv shows, and original content. the streaming quality is excellent, and the user interface is very easy to navigate. it's one of the best entertainment platforms available.",netflix offers a fantastic variety of movies tv shows and original content the streaming quality is excellent and the user interface is very easy to navigate its one of the best entertainment platforms available,"['netflix', 'offers', 'a', 'fantastic', 'variety', 'of', 'movies', 'tv', 'shows', 'and', 'original', 'content', 'the', 'streaming', 'quality', 'is', 'excellent', 'and', 'the', 'user', 'interface', 'is', 'very', 'easy', 'to', 'navigate', 'its', 'one', 'of', 'the', 'best', 'entertainment', 'platforms', 'available']","['netflix', 'offers', 'a', 'fantastic', 'variety', 'of', 'movies', 'tv', 'shows', 'and', 'original', 'content', 'the', 'streaming', 'quality', 'is', 'excellent', 'and', 'the', 'user', 'interface', 'is', 'very', 'easy', 'to', 'navigate', 'its', 'one', 'of', 'the', 'best', 'entertainment', 'platforms', 'available']","['netflix', 'offers', 'a', 'fantastic', 'variety', 'of', 'movies', 'tv', 'shows', 'and', 'original', 'content', 'the', 'streaming', 'quality', 'is', 'excellent', 'and', 'the', 'user', 'interface', 'is', 'very', 'easy', 'to', 'navigate', 'its', 'one', 'of', 'the', 'best', 'entertainment', 'platforms', 'available']",netflix offers a fantastic variety of movies tv shows and original content the streaming quality is excellent and the user interface is very easy to navigate its one of the best entertainment platforms available,Positif
harga murah,5,2026-06-11 15:04:00,harga murah,harga murah,"['harga', 'murah']","['harga', 'murah']","['harga', 'murah']",harga murah,Netral
eh ini gimana yah saya udah bayar loh kok tetap gak bisa login apa yah maksud nya in?,1,2026-06-11 13:15:22,eh ini gimana yah saya udah bayar loh kok tetap gak bisa login apa yah maksud nya in?,eh ini gimana yah saya udah bayar loh kok tetap gak bisa login apa yah maksud nya in,"['eh', 'ini', 'gimana', 'yah', 'saya', 'udah', 'bayar', 'loh', 'kok', 'tetap', 'gak', 'bisa', 'login', 'apa', 'yah', 'maksud', 'nya', 'in']","['eh', 'gimana', 'yah', 'udah', 'bayar', 'loh', 'gak', 'login', 'yah', 'maksud', 'nya', 'in']","['eh', 'gimana', 'yah', 'udah', 'bayar', 'loh', 'gak', 'login', 'yah', 'maksud', 'nya', 'in']",eh gimana yah udah bayar loh gak login yah maksud nya in,Netral
gak tau kenapa setiap pakai akun apa pun gak bisa masuk dan sulit banget sekarang netflix masuknya ribet banyak mau gak kaya dulu masuk kan email sama pw aja sudah,1,2026-06-11 11:21:21,gak tau kenapa setiap pakai akun apa pun gak bisa masuk dan sulit banget sekarang netflix masuknya ribet banyak mau gak kaya dulu masuk kan email sama pw aja sudah,gak tau kenapa setiap pakai akun apa pun gak bisa masuk dan sulit banget sekarang netflix masuknya ribet banyak mau gak kaya dulu masuk kan email sama pw aja sudah,"['gak', 'tau', 'kenapa', 'setiap', 'pakai', 'akun', 'apa', 'pun', 'gak', 'bisa', 'masuk', 'dan', 'sulit', 'banget', 'sekarang', 'netflix', 'masuknya', 'ribet', 'banyak', 'mau', 'gak', 'kaya', 'dulu', 'masuk', 'kan', 'email', 'sama', 'pw', 'aja', 'sudah']","['gak', 'tau', 'pakai', 'akun', 'gak', 'masuk', 'sulit', 'banget', 'netflix', 'masuknya', 'ribet', 'gak', 'kaya', 'masuk', 'email', 'pw', 'aja']","['gak', 'tau', 'pakai', 'akun', 'gak', 'masuk', 'sulit', 'banget', 'netflix', 'masuk', 'ribet', 'gak', 'kaya', 'masuk', 'email', 'pw', 'aja']",gak tau pakai akun gak masuk sulit banget netflix masuk ribet gak kaya masuk email pw aja,Netral
bagus aja bisa nonton kamen rider,5,2026-06-11 10:47:47,bagus aja bisa nonton kamen rider,bagus aja bisa nonton kamen rider,"['bagus', 'aja', 'bisa', 'nonton', 'kamen', 'rider']","['bagus', 'aja', 'nonton', 'kamen', 'rider']","['bagus', 'aja', 'nonton', 'kamen', 'rider']",bagus aja nonton kamen rider,Netral
haduhh gimana sih ini sudah menyambungkan dana ke netflix tpi tetap tdk bisa dibuka mau dibatalkan harus dibatalkan lewat apk netflix sedangkan dibuka aja ga bisa makin ribet ajaa,1,2026-06-11 09:11:29,haduhh gimana sih ini sudah menyambungkan dana ke netflix tpi tetap tdk bisa dibuka mau dibatalkan harus dibatalkan lewat apk netflix sedangkan dibuka aja ga bisa makin ribet ajaa,haduhh gimana sih ini sudah menyambungkan dana ke netflix tpi tetap tdk bisa dibuka mau dibatalkan harus dibatalkan lewat apk netflix sedangkan dibuka aja ga bisa makin ribet ajaa,"['haduhh', 'gimana', 'sih', 'ini', 'sudah', 'menyambungkan', 'dana', 'ke', 'netflix', 'tpi', 'tetap', 'tdk', 'bisa', 'dibuka', 'mau', 'dibatalkan', 'harus', 'dibatalkan', 'lewat', 'apk', 'netflix', 'sedangkan', 'dibuka', 'aja', 'ga', 'bisa', 'makin', 'ribet', 'ajaa']","['haduhh', 'gimana', 'sih', 'menyambungkan', 'dana', 'netflix', 'tpi', 'tdk', 'dibuka', 'dibatalkan', 'dibatalkan', 'apk', 'netflix', 'dibuka', 'aja', 'ga', 'ribet', 'ajaa']","['haduhh', 'gimana', 'sih', 'sambung', 'dana', 'netflix', 'tpi', 'tdk', 'buka', 'batal', 'batal', 'apk', 'netflix', 'buka', 'aja', 'ga', 'ribet', 'ajaa']",haduhh gimana sih sambung dana netflix tpi tdk buka batal batal apk netflix buka aja ga ribet ajaa,Netral
Keren banget bisa nonton film yang seru seru,5,2026-06-11 09:05:58,keren banget bisa nonton film yang seru seru,keren banget bisa nonton film yang seru seru,"['keren', 'banget', 'bisa', 'nonton', 'film', 'yang', 'seru', 'seru']","['keren', 'banget', 'nonton', 'film', 'seru', 'seru']","['keren', 'banget', 'nonton', 'film', 'seru', 'seru']",keren banget nonton film seru seru,Netral
gak jelas banget udah bayar mahal video yang di download pun gak bisa di tonton offline apa gunanya di unduh,1,2026-06-11 08:37:44,gak jelas banget udah bayar mahal video yang di download pun gak bisa di tonton offline apa gunanya di unduh,gak jelas banget udah bayar mahal video yang di download pun gak bisa di tonton offline apa gunanya di unduh,"['gak', 'jelas', 'banget', 'udah', 'bayar', 'mahal', 'video', 'yang', 'di', 'download', 'pun', 'gak', 'bisa', 'di', 'tonton', 'offline', 'apa', 'gunanya', 'di', 'unduh']","['gak', 'banget', 'udah', 'bayar', 'mahal', 'video', 'download', 'gak', 'tonton', 'offline', 'gunanya', 'unduh']","['gak', 'banget', 'udah', 'bayar', 'mahal', 'video', 'download', 'gak', 'tonton', 'offline', 'guna', 'unduh']",gak banget udah bayar mahal video download gak tonton offline guna unduh,Netral
Aplikasi streaming terbaik sejauh ini! Antarmukanya sangat rapi dan mudah digunakan. Fitur 'Lanjutkan Menonton' bekerja sangat akurat. Proses unduhan offline juga lancar tanpa kendala. Sangat direkomendasikan!,5,2026-06-11 08:28:54,aplikasi streaming terbaik sejauh ini! antarmukanya sangat rapi dan mudah digunakan. fitur 'lanjutkan menonton' bekerja sangat akurat. proses unduhan offline juga lancar tanpa kendala. sangat direkomendasikan!,aplikasi streaming terbaik sejauh ini antarmukanya sangat rapi dan mudah digunakan fitur lanjutkan menonton bekerja sangat akurat proses unduhan offline juga lancar tanpa kendala sangat direkomendasikan,"['aplikasi', 'streaming', 'terbaik', 'sejauh', 'ini', 'antarmukanya', 'sangat', 'rapi', 'dan', 'mudah', 'digunakan', 'fitur', 'lanjutkan', 'menonton', 'bekerja', 'sangat', 'akurat', 'proses', 'unduhan', 'offline', 'juga', 'lancar', 'tanpa', 'kendala', 'sangat', 'direkomendasikan']","['aplikasi', 'streaming', 'terbaik', 'antarmukanya', 'rapi', 'mudah', 'fitur', 'lanjutkan', 'menonton', 'akurat', 'proses', 'unduhan', 'offline', 'lancar', 'kendala', 'direkomendasikan']","['aplikasi', 'streaming', 'baik', 'antarmuka', 'rapi', 'mudah', 'fitur', 'lanjut', 'tonton', 'akurat', 'proses', 'unduh', 'offline', 'lancar', 'kendala', 'rekomendasi']",aplikasi streaming baik antarmuka rapi mudah fitur lanjut tonton akurat proses unduh offline lancar kendala rekomendasi,Netral
"kerennn bangettt. filmnya update, kualitas gambar juga HD. sangat rekomen utk nonton di Netflix 🥳",5,2026-06-11 07:56:16,"kerennn bangettt. filmnya update, kualitas gambar juga hd. sangat rekomen utk nonton di netflix 🥳",kerennn bangettt filmnya update kualitas gambar juga hd sangat rekomen utk nonton di netflix,"['kerennn', 'bangettt', 'filmnya', 'update', 'kualitas', 'gambar', 'juga', 'hd', 'sangat', 'rekomen', 'utk', 'nonton', 'di', 'netflix']","['kerennn', 'bangettt', 'filmnya', 'update', 'kualitas', 'gambar', 'hd', 'rekomen', 'utk', 'nonton', 'netflix']","['kerennn', 'bangettt', 'film', 'update', 'kualitas', 'gambar', 'hd', 'rekomen', 'utk', 'nonton', 'netflix']",kerennn bangettt film update kualitas gambar hd rekomen utk nonton netflix,Netral
Kualitas streaming sangat stabil dengan pilihan film dan serial original yang selalu diperbarui. Antarmukanya sangat ramah pengguna dan fitur download offline-nya sangat membantu saat sedang bepergian. Pengalaman menonton bioskop di rumah yang sempurna!,5,2026-06-11 07:51:49,kualitas streaming sangat stabil dengan pilihan film dan serial original yang selalu diperbarui. antarmukanya sangat ramah pengguna dan fitur download offline-nya sangat membantu saat sedang bepergian. pengalaman menonton bioskop di rumah yang sempurna!,kualitas streaming sangat stabil dengan pilihan film dan serial original yang selalu diperbarui antarmukanya sangat ramah pengguna dan fitur download offlinenya sangat membantu saat sedang bepergian pengalaman menonton bioskop di rumah yang sempurna,"['kualitas', 'streaming', 'sangat', 'stabil', 'dengan', 'pilihan', 'film', 'dan', 'serial', 'original', 'yang', 'selalu', 'diperbarui', 'antarmukanya', 'sangat', 'ramah', 'pengguna', 'dan', 'fitur', 'download', 'offlinenya', 'sangat', 'membantu', 'saat', 'sedang', 'bepergian', 'pengalaman', 'menonton', 'bioskop', 'di', 'rumah', 'yang', 'sempurna']","['kualitas', 'streaming', 'stabil', 'pilihan', 'film', 'serial', 'original', 'diperbarui', 'antarmukanya', 'ramah', 'pengguna', 'fitur', 'download', 'offlinenya', 'membantu', 'bepergian', 'pengalaman', 'menonton', 'bioskop', 'rumah', 'sempurna']","['kualitas', 'streaming', 'stabil', 'pilih', 'film', 'serial', 'original', 'baru', 'antarmuka', 'ramah', 'guna', 'fitur', 'download', 'offlinenya', 'bantu', 'pergi', 'alam', 'tonton', 'bioskop', 'rumah', 'sempurna']",kualitas streaming stabil pilih film serial original baru antarmuka ramah guna fitur download offlinenya bantu pergi alam tonton bioskop rumah sempurna,Positif
Biaya berlangganannya termasuk mahal.,5,2026-06-11 05:23:07,biaya berlangganannya termasuk mahal.,biaya berlangganannya termasuk mahal,"['biaya', 'berlangganannya', 'termasuk', 'mahal']","['biaya', 'berlangganannya', 'mahal']","['biaya', 'langgan', 'mahal']",biaya langgan mahal,Netral
apk ribet,1,2026-06-11 00:52:34,apk ribet,apk ribet,"['apk', 'ribet']","['apk', 'ribet']","['apk', 'ribet']",apk ribet,Netral
"Hey, I cannot open the video",1,2026-06-10 22:16:53,"hey, i cannot open the video",hey i cannot open the video,"['hey', 'i', 'cannot', 'open', 'the', 'video']","['hey', 'i', 'cannot', 'open', 'the', 'video']","['hey', 'i', 'cannot', 'open', 'the', 'video']",hey i cannot open the video,Netral
DR ROMANTIC 2 & 3 KOK BLM UPDATE?? DI TUNGGU YA,4,2026-06-10 19:40:04,dr romantic 2 & 3 kok blm update?? di tunggu ya,dr romantic kok blm update di tunggu ya,"['dr', 'romantic', 'kok', 'blm', 'update', 'di', 'tunggu', 'ya']","['dr', 'romantic', 'blm', 'update', 'tunggu', 'ya']","['dr', 'romantic', 'blm', 'update', 'tunggu', 'ya']",dr romantic blm update tunggu ya,Netral
filmnya bagus tapi tolong tambahin film ben 10 dong di netflix Indonesia,5,2026-06-10 18:41:59,filmnya bagus tapi tolong tambahin film ben 10 dong di netflix indonesia,filmnya bagus tapi tolong tambahin film ben dong di netflix indonesia,"['filmnya', 'bagus', 'tapi', 'tolong', 'tambahin', 'film', 'ben', 'dong', 'di', 'netflix', 'indonesia']","['filmnya', 'bagus', 'tolong', 'tambahin', 'film', 'ben', 'netflix', 'indonesia']","['film', 'bagus', 'tolong', 'tambahin', 'film', 'ben', 'netflix', 'indonesia']",film bagus tolong tambahin film ben netflix indonesia,Netral
